gen,ind,indType,sendType,strategy,alphaBeta,fitness
3000,67,Sender,2,1,0,0
3000,68,Sender,2,1,0.078079,0
3000,69,Sender,2,1,0,0
3000,70,Sender,1,1,0,0.5
3000,71,Sender,2,1,0,0
3000,72,Sender,2,1,0,0
3000,73,Sender,2,1,0.0282573,0
3000,74,Sender,2,1,0,0
3000,75,Sender,2,1,0.0282573,0
3000,76,Sender,2,1,0,1
3000,77,Sender,2,1,0,0
3000,78,Sender,2,1,0,0
3000,79,Sender,1,1,0,0.5
3000,80,Sender,2,1,0,0
3000,81,Sender,2,1,0,0
3000,82,Sender,2,1,0,0
3000,83,Sender,1,1,0,0.5
3000,84,Sender,1,1,0,0.5
3000,85,Sender,1,1,0,0.5
3000,86,Sender,2,1,0,0
3000,87,Sender,2,1,0.078079,0
3000,88,Sender,1,1,0,0.5
3000,89,Sender,2,3,0,-0.5
3000,90,Sender,1,3,0,0
3000,91,Sender,2,1,0,0
3000,92,Sender,2,1,0,0
3000,93,Sender,2,1,0,0
3000,94,Sender,2,1,0,0
3000,95,Sender,2,1,0,0
3000,96,Sender,2,1,0,0
3000,97,Sender,2,1,0,0
3000,98,Sender,2,1,0,0
3000,99,Sender,1,1,0,0.5
3000,0,Receiver,na,1,0.984925,1
3000,1,Receiver,na,1,1,1
3000,2,Receiver,na,1,1,1
3000,3,Receiver,na,1,1,1
3000,4,Receiver,na,1,1,1
3000,5,Receiver,na,1,1,1
3000,6,Receiver,na,1,1,1
3000,7,Receiver,na,1,1,1
3000,8,Receiver,na,1,0.992247,1
3000,9,Receiver,na,1,1,1
3000,10,Receiver,na,1,0.992247,1
3000,11,Receiver,na,1,1,1
3000,12,Receiver,na,1,1,1
3000,13,Receiver,na,1,1,1
3000,14,Receiver,na,1,1,1
3000,15,Receiver,na,1,1,1
3000,16,Receiver,na,1,1,0
3000,17,Receiver,na,1,1,1
3000,18,Receiver,na,1,0.984925,1
3000,19,Receiver,na,1,1,1
3000,20,Receiver,na,1,1,1
3000,21,Receiver,na,1,0.992247,1
